date,gmail privacy issues,who can see my snapchat story,most private browser,best anonymous browser,how to browse anonymously,search without history,government monitoring social media,how to delete pokemongo,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,skype privacy policy,delete hangout history,can someone read my text messages from their phone,Twitter privacy policy,uber privacy policy,private instagram posts,How to make tweets private,Uber privacy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,google hangouts encryption,skype encryption,how to encrypt text messages
2011-01-01,65,0,66,88,154,227,33,0,0,0,128,0,0,0,99,67,0,49,0,0,54,0,0,66,0,107,54,0,67,0,437,33
2011-02-01,57,0,69,102,104,137,0,0,0,0,80,0,0,0,93,0,0,69,35,0,80,0,37,35,0,100,80,0,56,0,395,35
2011-03-01,46,0,42,52,135,174,31,0,0,0,124,0,0,0,93,31,0,52,0,0,103,0,0,31,31,82,103,0,39,0,353,31
2011-04-01,44,0,0,154,100,111,33,0,0,34,188,0,0,0,100,50,0,33,0,0,89,0,0,48,31,75,89,0,56,0,369,66
2011-05-01,52,0,78,82,93,227,41,0,32,67,204,0,0,0,93,64,0,62,0,0,84,0,32,74,62,63,84,0,106,0,527,46
2011-06-01,64,0,47,86,204,127,32,0,0,34,296,0,0,0,112,33,0,0,0,0,117,33,0,96,70,63,117,33,67,32,327,32
2011-07-01,0,0,63,84,212,264,0,0,32,34,176,0,0,0,85,53,31,63,32,0,54,0,0,127,31,107,54,0,84,0,248,31
2011-08-01,30,0,40,39,200,122,30,0,90,59,240,0,0,0,100,40,0,45,0,0,121,0,0,79,0,75,121,0,50,0,311,40
2011-09-01,49,0,59,175,185,243,0,0,28,75,220,0,0,0,99,45,29,78,0,0,89,0,0,48,0,132,89,0,78,0,390,29
2011-10-01,41,0,56,82,193,90,0,0,42,67,300,0,0,0,193,65,0,27,0,0,147,0,28,135,31,100,147,0,84,0,332,41
2011-11-01,28,0,28,56,112,132,56,0,56,59,184,0,0,0,56,70,28,37,0,28,121,0,28,100,0,107,121,0,112,0,211,42
2011-12-01,27,0,42,38,147,200,28,0,28,25,324,0,0,0,74,47,0,41,0,0,119,0,0,161,31,63,119,0,84,0,216,27
2012-01-01,51,0,83,150,212,243,38,0,25,50,400,0,0,0,93,42,0,51,0,0,161,0,0,144,0,282,161,0,428,0,327,34
2012-02-01,69,0,121,104,270,322,35,0,66,42,376,0,0,0,91,39,0,26,0,0,226,0,0,196,24,625,226,0,556,26,222,35
2012-03-01,74,0,123,113,216,179,49,0,66,75,308,0,0,0,83,57,49,99,0,0,173,0,0,157,0,369,173,0,495,0,337,25
2012-04-01,26,0,76,52,258,206,26,0,87,42,288,0,0,0,102,44,26,43,0,0,121,0,28,196,24,132,121,0,234,26,258,39
2012-05-01,48,0,85,56,220,243,24,0,121,50,232,0,0,36,49,65,0,24,0,0,168,0,23,161,0,50,168,0,84,0,237,36
2012-06-01,100,0,50,58,216,300,33,0,183,42,328,0,0,37,75,59,0,37,0,0,117,0,0,183,24,75,117,0,117,25,311,75
2012-07-01,41,0,49,73,297,353,24,0,73,34,188,0,0,49,124,87,0,49,0,0,91,0,0,205,0,107,91,0,106,0,295,24
2012-08-01,37,0,82,82,247,274,24,0,163,50,192,0,0,0,81,99,24,97,0,0,138,0,0,196,24,63,138,0,89,0,232,24
2012-09-01,60,0,56,63,250,279,24,0,97,67,216,0,0,72,81,73,24,40,0,0,128,0,23,209,24,88,128,0,84,0,174,48
2012-10-01,65,0,50,88,212,285,36,0,121,42,276,0,0,22,102,37,22,44,22,0,80,0,69,218,24,100,80,0,117,0,206,29
2012-11-01,44,0,0,95,235,237,29,0,163,67,336,0,0,44,66,22,33,44,22,0,110,23,46,227,47,82,110,23,106,0,295,55
2012-12-01,22,0,66,117,208,279,45,0,169,50,308,0,45,22,104,60,44,0,22,0,156,0,32,266,0,107,156,0,95,0,248,37
2013-01-01,47,0,40,100,262,269,40,0,114,284,296,0,34,40,54,31,60,27,0,0,140,0,32,396,0,100,140,0,134,20,374,47
2013-02-01,66,0,109,88,208,264,33,0,152,217,188,0,23,22,89,67,0,37,22,44,214,0,23,261,24,94,214,0,89,0,327,88
2013-03-01,46,0,78,104,266,295,39,0,118,392,240,0,20,59,79,40,20,46,47,0,170,0,41,309,0,88,170,0,145,0,322,46
2013-04-01,33,0,87,139,247,327,27,0,94,575,304,20,48,60,93,40,40,20,0,0,180,0,32,279,39,113,180,0,78,0,269,60
2013-05-01,49,0,59,130,262,232,39,0,183,392,284,0,111,68,85,47,20,26,59,0,98,0,19,305,24,100,98,0,100,0,358,29
2013-06-01,30,0,87,119,235,353,47,0,200,217,212,0,114,60,95,154,20,33,120,0,121,0,51,353,0,100,121,0,112,20,416,40
2013-07-01,68,0,78,112,177,400,39,0,197,292,232,0,53,72,79,99,78,59,191,0,124,0,91,418,24,69,124,0,106,20,353,20
2013-08-01,65,0,85,117,270,416,39,0,228,625,232,0,33,20,131,73,19,52,137,20,91,20,105,331,24,150,91,20,100,19,237,20
2013-09-01,38,0,57,139,250,353,38,0,211,442,272,39,20,26,97,90,19,38,174,0,142,20,137,331,31,63,142,20,156,19,264,26
2013-10-01,73,90,61,108,189,300,24,0,218,192,264,0,18,24,68,73,27,18,152,0,133,0,101,161,16,107,133,0,117,18,232,27
2013-11-01,55,85,85,128,162,348,49,0,190,267,208,0,37,27,104,130,18,49,105,55,124,18,155,248,31,125,124,18,106,25,206,37
2013-12-01,56,110,106,86,266,364,46,0,266,384,240,37,56,50,45,94,19,49,186,0,131,20,169,283,39,100,131,20,139,19,200,43
2014-01-01,29,130,75,143,254,353,26,0,166,700,308,17,30,17,99,93,17,70,144,18,105,0,228,400,39,113,105,0,167,35,179,26
2014-02-01,48,125,45,100,304,306,32,0,183,542,364,19,39,38,58,90,19,38,166,0,159,20,201,314,31,113,159,20,167,19,322,38
2014-03-01,34,100,73,108,239,279,34,0,249,359,328,0,23,23,131,120,34,34,159,17,170,17,214,366,16,82,170,17,78,25,206,23
2014-04-01,47,160,76,134,324,264,29,0,187,384,244,27,27,23,100,82,52,17,159,17,170,0,291,266,39,119,170,0,89,35,164,52
2014-05-01,53,190,106,93,212,274,29,0,176,525,268,54,53,77,89,48,18,35,208,0,100,18,300,327,70,132,100,18,106,29,227,29
2014-06-01,20,110,85,73,308,306,29,0,228,775,336,33,59,39,85,67,33,26,191,20,124,80,219,435,62,94,124,80,78,26,227,46
2014-07-01,51,170,147,84,385,432,29,0,145,834,316,20,30,67,52,77,51,58,213,0,110,20,296,331,24,69,110,20,95,19,237,26
2014-08-01,19,135,109,121,258,358,29,0,242,609,324,39,20,48,58,71,70,29,166,0,142,33,187,357,39,88,142,33,117,19,143,48
2014-09-01,28,175,111,115,235,327,31,0,145,325,244,19,37,37,93,68,37,37,222,0,203,93,278,300,85,82,203,93,95,37,222,49
2014-10-01,35,155,156,121,297,432,23,0,163,342,180,19,48,52,81,53,58,52,198,0,163,35,287,214,100,94,163,35,100,41,185,52
2014-11-01,36,130,100,108,227,348,42,0,156,509,268,31,67,36,114,108,66,36,227,0,233,81,278,322,770,138,233,81,112,54,200,18
2014-12-01,18,125,140,128,258,348,44,0,211,750,220,30,36,35,72,53,35,29,176,18,117,42,255,209,254,100,117,42,117,41,185,35
2015-01-01,33,140,99,186,297,416,25,0,187,759,256,45,73,16,110,84,44,38,149,0,105,33,273,166,154,113,105,33,162,44,206,38
2015-02-01,27,145,95,71,220,395,30,0,249,442,188,73,96,24,83,90,54,18,174,0,138,24,319,144,162,107,138,24,123,36,185,54
2015-03-01,43,210,97,134,243,348,32,0,194,451,188,60,55,27,45,82,40,40,200,0,189,33,187,161,124,94,189,33,128,38,222,33
2015-04-01,17,230,88,117,297,369,22,0,221,534,172,57,68,28,95,96,17,33,240,17,140,57,237,118,231,119,140,57,106,22,227,22
2015-05-01,22,200,97,108,227,332,49,0,263,642,248,67,93,38,102,93,32,22,244,0,140,54,251,135,170,113,140,54,134,40,164,32
2015-06-01,17,195,88,126,150,453,16,0,190,826,200,62,77,49,77,74,60,60,154,17,138,150,201,83,385,132,138,150,156,33,174,66
2015-07-01,16,500,125,162,247,437,27,0,218,542,264,60,83,38,99,54,49,49,159,0,152,89,269,118,262,88,152,89,123,38,206,65
2015-08-01,24,170,118,176,381,332,24,0,256,400,192,76,65,48,64,37,27,37,225,0,135,21,255,79,131,88,135,21,106,53,211,24
2015-09-01,32,160,83,130,285,432,24,0,242,525,224,80,95,37,91,96,42,58,154,16,138,75,219,96,200,94,138,75,184,16,122,42
2015-10-01,38,165,106,136,277,422,20,0,242,467,196,62,81,20,131,51,55,25,91,0,173,71,155,70,170,94,173,71,184,23,211,45
2015-11-01,54,180,173,138,204,427,25,0,159,317,224,27,67,51,87,97,56,36,118,0,163,51,223,83,131,82,163,51,184,77,143,26
2015-12-01,47,170,99,167,189,527,23,0,183,384,244,64,74,52,116,111,63,16,161,16,177,63,219,74,131,82,177,63,117,36,206,47
2016-01-01,44,175,132,150,200,385,25,0,283,417,248,45,108,39,133,79,37,39,179,0,114,68,237,122,177,57,114,68,150,34,222,59
2016-02-01,24,145,102,132,266,427,39,0,249,559,184,94,78,49,166,99,22,34,118,15,191,35,160,79,170,75,191,35,178,51,206,29
2016-03-01,23,210,95,154,266,458,18,0,287,442,200,107,111,50,120,88,55,41,115,14,128,38,241,96,139,119,128,38,134,50,253,62
2016-04-01,36,275,114,162,154,406,24,0,283,350,176,154,90,47,91,125,36,43,152,14,142,48,319,48,208,75,142,48,184,38,290,33
2016-05-01,14,240,100,154,127,374,41,0,318,267,160,102,102,73,93,88,87,41,105,14,96,69,300,61,177,138,96,69,189,46,216,73
2016-06-01,28,240,137,150,200,437,29,0,297,342,260,125,148,71,95,100,62,24,66,14,124,48,282,35,247,119,124,48,150,36,258,33
2016-07-01,33,225,123,132,254,395,19,200,318,609,200,154,128,76,87,114,29,33,120,28,152,57,323,44,124,88,152,57,206,57,227,43
2016-08-01,21,270,107,130,193,485,0,60,345,467,172,96,114,51,104,113,84,28,122,14,198,48,332,74,200,119,198,48,167,33,211,56
2016-09-01,35,295,102,152,189,390,14,14,266,367,180,94,75,84,99,140,56,37,71,0,224,53,337,61,224,125,224,53,212,60,279,51
2016-10-01,22,230,118,119,200,411,26,0,249,292,168,85,93,61,120,80,53,48,71,13,173,80,305,66,193,107,173,80,162,22,253,53
2016-11-01,36,235,116,106,243,390,27,14,328,584,176,73,121,58,149,85,62,45,66,20,175,86,337,57,277,82,175,86,184,40,258,67
2016-12-01,20,285,116,115,274,453,36,0,269,609,128,104,112,44,112,108,62,27,86,13,128,108,455,31,370,107,128,108,128,31,153,71
2017-01-01,25,345,130,158,235,485,25,18,307,592,316,51,126,33,100,110,67,29,98,21,168,63,369,61,277,144,168,63,167,17,174,50
